,name,all_th,img_th,text_th,f1score,precision,recall
79,vote6,0.5,0.6000000000000001,0.55,0.8695663989488218,0.9458520143748076,0.8563754392229563
353,vote5,0.55,0.7500000000000002,0.6000000000000001,0.8693625121364045,0.9510622112459303,0.8493340721701562
243,vote5,0.5,0.8000000000000003,0.8000000000000003,0.8691166052332586,0.9577243524129954,0.8435128272364851
54,vote6,0.5,0.55,0.6500000000000001,0.8690175384951835,0.9487684418295069,0.8540190497933766
338,vote5,0.55,0.7000000000000002,0.7000000000000002,0.868693020580343,0.9540449408379258,0.846332025402296
109,vote6,0.5,0.6500000000000001,0.5,0.8684120011674606,0.9465725299626534,0.8537279253714258
358,vote5,0.55,0.7500000000000002,0.6500000000000001,0.8684016289937327,0.953600745743242,0.8462232913959271
84,vote6,0.5,0.6000000000000001,0.6000000000000001,0.868138778604982,0.9492943409203597,0.8518631765381715
318,vote5,0.55,0.6500000000000001,0.7500000000000002,0.8676139230932448,0.9530770854123073,0.8457041595329629
29,vote6,0.5,0.5,0.7500000000000002,0.867583155887707,0.951748787795183,0.8492304527728001
59,vote6,0.5,0.55,0.7000000000000002,0.8673631971058376,0.9516967011326584,0.8491072882235717
114,vote6,0.5,0.6500000000000001,0.55,0.8671346522282737,0.9489695185295182,0.8502785133415728
89,vote6,0.5,0.6000000000000001,0.6500000000000001,0.8669219752363798,0.9518653174355463,0.8482636278717531
363,vote5,0.55,0.7500000000000002,0.7000000000000002,0.8667291789400458,0.9559786431945659,0.8419313097218846
144,vote6,0.5,0.7000000000000002,0.5,0.8666247033689539,0.9491293814386025,0.8489410463556639
343,vote5,0.55,0.7000000000000002,0.7500000000000002,0.8657064024861779,0.9558773557722849,0.8406709124408673
119,vote6,0.5,0.6500000000000001,0.6000000000000001,0.8656557006062765,0.9515821561144487,0.8463779867020909
34,vote6,0.5,0.5,0.8000000000000003,0.8655275733194693,0.9546767510346229,0.8440316834095604
149,vote6,0.5,0.7000000000000002,0.55,0.8654682935905827,0.9516093717748925,0.845561198989359
94,vote6,0.5,0.6000000000000001,0.7000000000000002,0.8651533848018258,0.9545104858969548,0.8436698797865413
179,vote6,0.5,0.7500000000000002,0.5,0.8650770898822331,0.9516448616976397,0.8446469416520642
64,vote6,0.5,0.55,0.7500000000000002,0.8650269052058724,0.953934514849742,0.8440647769714377
124,vote6,0.5,0.6500000000000001,0.6500000000000001,0.8641972205360532,0.953859975926643,0.8425925021779097
154,vote6,0.5,0.7000000000000002,0.6000000000000001,0.8640766428057464,0.954254670734622,0.8418978073950255
368,vote5,0.55,0.7500000000000002,0.7500000000000002,0.863846676812443,0.958114277671966,0.8360892893982712
184,vote6,0.5,0.7500000000000002,0.55,0.8636425183800908,0.9538411172266443,0.8412480824103584
214,vote6,0.5,0.8000000000000003,0.5,0.8633097283445131,0.9531679453323837,0.8408471034921926
69,vote6,0.5,0.55,0.8000000000000003,0.8626510293974432,0.9565111665009722,0.8387551443397149
99,vote6,0.5,0.6000000000000001,0.7500000000000002,0.862512756357223,0.9567288896207943,0.8382911334880477
159,vote6,0.5,0.7000000000000002,0.6500000000000001,0.8623547237635939,0.9563601739439266,0.8379042343713544
129,vote6,0.5,0.6500000000000001,0.7000000000000002,0.8619806224771771,0.9567017145034679,0.8374380066661562
189,vote6,0.5,0.7500000000000002,0.6000000000000001,0.8619158118382508,0.9564327803457181,0.837017402095845
249,vote6,0.55,0.55,0.55,0.8619077830655945,0.9476303292950342,0.8437522702177764
219,vote6,0.5,0.8000000000000003,0.55,0.861707056145525,0.9552739374003301,0.8373128631870823
254,vote6,0.55,0.55,0.6000000000000001,0.8600527636019629,0.9522905860586187,0.8376378269597724
164,vote6,0.5,0.7000000000000002,0.7000000000000002,0.8600152321555536,0.9594567798472514,0.832513668341
194,vote6,0.5,0.7500000000000002,0.6500000000000001,0.8598533516155498,0.9585230570560749,0.8325869060951282
104,vote6,0.5,0.6000000000000001,0.8000000000000003,0.8596363477516367,0.9589295503464628,0.8325955207512092
134,vote6,0.5,0.6500000000000001,0.7500000000000002,0.8592735519669207,0.9588450685248598,0.8321036053270079
224,vote6,0.5,0.8000000000000003,0.6000000000000001,0.8592198418635729,0.9578050359701821,0.8319658261264173
274,vote6,0.55,0.6000000000000001,0.55,0.8585941377026595,0.9520721357228666,0.835258770115848
259,vote6,0.55,0.55,0.6500000000000001,0.8582767479317845,0.9552914102416772,0.832898637907399
229,vote6,0.5,0.8000000000000003,0.6500000000000001,0.8573886887562371,0.9600812367265529,0.8276693316661243
279,vote6,0.55,0.6000000000000001,0.6000000000000001,0.8569430701887436,0.9558964122504516,0.8302405360068622
199,vote6,0.5,0.7500000000000002,0.7000000000000002,0.8568666997399106,0.9612377529965993,0.8264245457991055
169,vote6,0.5,0.7000000000000002,0.7500000000000002,0.856804050457699,0.9615138668574637,0.826443527848008
139,vote6,0.5,0.6500000000000001,0.8000000000000003,0.8559467876915339,0.9614766025133804,0.825612602986697
264,vote6,0.55,0.55,0.7000000000000002,0.8556490573157666,0.958337245487795,0.8264982431073273
284,vote6,0.55,0.6000000000000001,0.6500000000000001,0.8553869302824997,0.9581617497394956,0.8264508703473565
299,vote6,0.55,0.6500000000000001,0.55,0.8547988753128143,0.9558725881437728,0.8271325698475104
234,vote6,0.5,0.8000000000000003,0.7000000000000002,0.8536295136309306,0.9629328562888135,0.8204264193518811
304,vote6,0.55,0.6500000000000001,0.6000000000000001,0.8532167676648249,0.9587475839631251,0.8228703311676591
204,vote6,0.5,0.7500000000000002,0.7500000000000002,0.8531323932338816,0.9639770375587823,0.8188853405929868
174,vote6,0.5,0.7000000000000002,0.8000000000000003,0.8529170944720503,0.9645738003960002,0.8188454453880402
289,vote6,0.55,0.6000000000000001,0.7000000000000002,0.8527375623312888,0.9608652747464126,0.8205422083899693
269,vote6,0.55,0.55,0.7500000000000002,0.8526594416792741,0.9605219623360545,0.8207627526779401
324,vote6,0.55,0.7000000000000002,0.55,0.8523898571877894,0.9589493437495012,0.8211702891201046
309,vote6,0.55,0.6500000000000001,0.6500000000000001,0.8518516832297307,0.9608084783096305,0.8195564825955466
329,vote6,0.55,0.7000000000000002,0.6000000000000001,0.8507481774482519,0.9615243297221626,0.8171745863297832
349,vote6,0.55,0.7500000000000002,0.55,0.8506842742815066,0.9618915037545157,0.816848203511065
294,vote6,0.55,0.6000000000000001,0.7500000000000002,0.8494181248560726,0.9625242328794134,0.8149558828694073
314,vote6,0.55,0.6500000000000001,0.7000000000000002,0.8493247006872442,0.9629146222297013,0.8146251168619356
